authors;year;paper.number;es_id;genus;species;animal;animal_on_tree;pop;number.mts;type.of.study;treatment;condition;sperm.comp.rank;sperm_comp_cat;response.variable.type;is_gsi;is_abs_gonad_size;variable.type;variable.type1;meaning.response.variable;sample.size.stat;es_hedges_g;es_var;size.measure;major.size;sde.major.size;n1.size;minor.size;sde.minor.size;n2.size;sample.size.size;
Pilastro et al;2002;5;59;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venice Lagoon, Italy + professional fishers;2;exp;5 sneakers;laboratory;1;1.L;sperm concentration (sperm per mL of water);0;0;allocation;allocation;sperm concentration in 80mL of water after 30 min of the introduction of females / sperm per mL;21;1.057079965;0.289105192;mean total length +/- sd cm;11.1;0.72;20;7.9;0.65;20;40;
Rasotto & Mazzoldi;2002;23;60;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venice Lagoon, Italy;2;obs;minor 1: type I;natural;1;1.L;GSI;1;0;production;production_1;gonado-somatic index: testes weight + mesochial gland weight / body weight x 100;59;-1.915782807;0.098919683;total length (cm) + se;11.2;0.3;29;6.7;0.2;30;59;
Rasotto & Mazzoldi;2002;23;61;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venice Lagoon, Italy;2;obs;minor 1: type I;natural;1;1.L;SVSI;0;0;quality;quality;seminal vesicle somatic index: seminal vesicle weight / body weight x 100;59;1.335084669;0.08292161;total length (cm) + se;11.2;0.3;29;6.7;0.2;30;59;
Rasotto & Mazzoldi;2002;23;62;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venice Lagoon, Italy;2;obs;minor 1: type I;natural;1;1.L;sperm number;0;0;production;production_0;NA;59;-1.500574505;0.086898497;total length (cm) + se;11.2;0.3;29;6.7;0.2;30;59;
Rasotto & Mazzoldi;2002;23;63;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venice Lagoon, Italy;2;obs;minor 1: type I;natural;1;1.L;sperm density (per mm^2);0;0;production;production_0;"""Sperm density in each trail was computed (number of sperm per mm2 trail area)""";59;-0.168231853;0.068055939;total length (cm) + se;11.2;0.3;29;6.7;0.2;30;59;
Scaggiante et al;2006;35;102;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;"""Venetian Lagoon,
Northern Adriatic Sea, Italy""";2;obs;reproductive season;natural;1;1.L;GSI;1;0;production;production_1;"""Gonads and seminal vesicles were separately removed and weighted to the nearest mg (GW and SVW), the gonadoso- matic index (GSI = 100 × GW/BW) and seminal vesicle somatic index (SVSI = 100 × SVW/BW) were computed. For black goby, testis weight meas- urements included the mesorchial gland, that is connected to testis tissue and could not be separately weighted""";18;-2.202562526;0.356980047;mean body weight (g) +/- se;16.82;1.89;9;3.07;0.41;9;18;
Scaggiante et al;2006;35;103;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;"""Venetian Lagoon,
Northern Adriatic Sea, Italy""";2;obs;reproductive season;natural;1;1.L;SVSI;0;0;quality;quality;"""Gonads and seminal vesicles were separately removed and weighted to the nearest mg (GW and SVW), the gonadoso- matic index (GSI = 100 × GW/BW) and seminal vesicle somatic index (SVSI = 100 × SVW/BW) were computed. For black goby, testis weight meas- urements included the mesorchial gland, that is connected to testis tissue and could not be separately weighted""";18;0.206202099;0.223403314;mean body weight (g) +/- se;16.82;1.89;9;3.07;0.41;9;18;
Locatello et al;2007;46;108;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venetian Lagoon;2;obs;NA;natural;1;1.L;proportion of live sperm postactivation;0;0;quality;quality;Sperm viability was measured as the proportion of sperm live at stripping,;26;-0.321596164;0.155835079;?;?;?;?;?;?;?;?;
Locatello et al;2007;46;110;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venetian Lagoon;2;obs;NA;natural;1;1.L;VAP: average path velocity (µm s-1) postactivation;0;0;quality;quality;;24;-1.36564389;0.205520484;?;?;?;?;?;?;?;?;
Locatello et al;2007;46;111;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venetian Lagoon;2;obs;NA;natural;1;1.L;VCL (µm s-1) postactivation;0;0;quality;quality;;24;-1.303371155;0.202057841;?;?;?;?;?;?;?;?;
