authors;year;paper.number;es_id;genus;species;animal;animal_on_tree;pop;number.mts;type.of.study;treatment;condition;sperm.comp.rank;sperm_comp_cat;response.variable.type;is_gsi;is_abs_gonad_size;variable.type;variable.type1;meaning.response.variable;sample.size.stat;es_hedges_g;es_var;size.measure;major.size;sde.major.size;n1.size;minor.size;sde.minor.size;n2.size;sample.size.size;
Saraiva et al;2010;4;141;Salaria;Peacock blenny;Salaria_pavo;Hypsoblennius_sp;Ria Formosa, Portugal;3;obs;minor 1;natural;3;2.M;GSI;1;0;production;production_1;gonado-somatic index: testes weight / eviscerated weight x 100;45;-2.99672003;0.189067169;standard length mm mean +/- se;9.44;0.21;33;5.53;0.13;27;60;
Saraiva et al;2010;4;142;Salaria;Peacock blenny;Salaria_pavo;Hypsoblennius_sp;Gulf of Trieste, Adriatic Sea;3;obs;minor 1;natural;3;2.M;GSI;1;0;production;production_1;gonado-somatic index: testes weight / eviscerated weight x 100;60;-3.618975073;0.207341177;standard length mm mean +/- se;8.21;0.13;111;5.78;0.24;23;134;
Saraiva et al;2010;4;143;Salaria;Peacock blenny;Salaria_pavo;Hypsoblennius_sp;Ria Formosa, Portugal;3;obs;minor 1;natural;3;2.M;Relative testicular gland area;0;0;production;production_0;"""The testicular gland is an accessory structure to the gonad, being the main source of androgens in this species."" ""Relative anal gland area was obtained by dividing its area for SL. For the calculation of the relative testicular gland area we first determined each testicular gland area using the same procedure as for the anal gland area. The same was done for both testes. To finish, we divided the obtained average for the testicular gland area by the obtained average for the testes area.""";59;4.163233045;0.21517271;standard length mm mean +/- se;9.44;0.21;33;5.53;0.13;27;60;
Saraiva et al;2010;4;144;Salaria;Peacock blenny;Salaria_pavo;Hypsoblennius_sp;Gulf of Trieste, Adriatic Sea;3;obs;minor 1;natural;3;2.M;Relative testicular gland area;0;0;production;production_0;"""The testicular gland is an accessory structure to the gonad, being the main source of androgens in this species."" ""Relative anal gland area was obtained by dividing its area for SL. For the calculation of the relative testicular gland area we first determined each testicular gland area using the same procedure as for the anal gland area. The same was done for both testes. To finish, we divided the obtained average for the testicular gland area by the obtained average for the testes area.""";58;1.784922416;0.132537533;standard length mm mean +/- se;8.21;0.13;111;5.78;0.24;23;134;
Fagundes et al;2012;40;168;Salaria;peacock blenny;Salaria_pavo;Hypsoblennius_sp;"""in-
tertidal area of Ilha da Culatra, a barrier island situated in Ria Formosa Nature Park (36°59′N, 7°51′W), in the South coast of Portugal""";2;exp;NA;laboratory;3;2.M;testes weight (g) -> covariate: eviscerated body weight;0;1;production;production_0;"""At the end of the experiment the measurements taken at the beginning of the experimentwere repeated. Additionally, length and width of tes- tes and of testicular glands, and wetweight of body after removal of in- ternal organs (eviscerated body weight) and of testes were measured."" ""Dominant males had larger testicular glands than subordinate males but the weight of testes controlled for eviscerated body weight did not differ between dominant and subordinate males (Table 1)"" ""for “testes weight” the covariate used was eviscerated body weight.""";57;0;0.081196581;?;?;?;?;?;?;?;?;
Fagundes et al;2012;40;169;Salaria;peacock blenny;Salaria_pavo;Hypsoblennius_sp;"""in-
tertidal area of Ilha da Culatra, a barrier island situated in Ria Formosa Nature Park (36°59′N, 7°51′W), in the South coast of Portugal""";2;exp;NA;laboratory;3;2.M;testicular gland area (mm2);0;0;quality;quality;"""At the end of the experiment the measurements taken at the beginning of the experimentwere repeated. Additionally, length and width of tes- tes and of testicular glands, and wetweight of body after removal of in- ternal organs (eviscerated body weight) and of testes were measured."" ";57;0.364354958;0.082361095;?;?;?;?;?;?;?;?;
Gage et al;1995;12;1;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;GSI;1;0;production;production_1;"""GSI was determined by calculating testes mass as a percentage of body mass""";23;-2.2219343;0.281568338;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;2;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;stripped sperm volume (ml);0;0;production;production_0;volume of the sperm stripped from males after 7 days without stripping;77;14.01764656;1.381998367;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;3;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;stripped sperm number;0;0;production;production_0;mean number of sperm stripped from males. A sample of sperm was counted twice and later multiplied by the sample's dilution factor and volume.;77;10.21863933;0.784116384;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;4;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;relative sperm volume (ml kg-1);0;0;production;production_0;volume of sperm stripped relative to the body mass of males;77;-48.94699197;15.66325556;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;5;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;relative sperm number (kg-1);0;0;production;production_0;sperm number relative to the body mass of males;77;-23.53127636;3.701651301;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;6;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;motility (%) (4-6h after stripping);0;0;quality;quality;"""the percentage of sperm in the field view (range 500-3000 sperm) which showed propulsive motility at 10 sec after activation""";23;-1.854642306;0.24901847;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;7;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;motility (%) (24-26h after stripping);0;0;quality;quality;"""the percentage of sperm in the field view (range 500-3000 sperm) which showed propulsive motility at 10 sec after activation""";23;-1.596435975;0.229646942;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;8;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;duration of motiliy (s) (4-6h after stripping);0;0;quality;quality;"""the duration that at least 5% of the sample showed propulsive motility""";23;-1.438057155;0.219199128;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;9;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;duration of motiliy (s) (24-26h after stripping);0;0;quality;quality;"""the duration that at least 5% of the sample showed propulsive motility""";23;-2.004534836;0.261593727;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;10;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;sperm head length (µm);0;0;quality;quality;"""Sperm were magnified 400? through phase contrast and a video link to a flat-screen monitor. Sperm heads and tails were measured on this monitor without knowledge of the sample’s identification. Sperm were analysed from 25 males (14 anadromous and 11 parr) and flagellar lengths were measured from 50 sperm from each male.Head length measurements were made on 30 sperm from 10 males (5 anadromous and 5 parr).""";10;-0.298495313;0.404454973;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;11;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;sperm flagellar length (µm);0;0;quality;quality;"""Sperm were magnified 400? through phase contrast and a video link to a flat-screen monitor. Sperm heads and tails were measured on this monitor without knowledge of the sample’s identification. Sperm were analysed from 25 males (14 anadromous and 11 parr) and flagellar lengths were measured from 50 sperm from each male.Head length measurements were made on 30 sperm from 10 males (5 anadromous and 5 parr).""";25;-1.438530168;0.203725043;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1995;12;12;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;gonad mass;0;1;production;production_0;NA;23;2.425060241;0.30208845;mean mass (kg) +/- se;16.25;0.31;66;0.024;0.002;11;77;
Gage et al;1998;22;14;Salmo;Atlantic Salmon;Salmo_salar;Salmo_salar;North Tyne system, U.K., from Kielder salmon hatchery;2;obs;NA;natural;3;2.M;sperm total length (µm);0;0;quality;quality;"""Sperm were magnified 400? through phase contrast and a video link to a flat-screen monitor. Sperm heads and tails were measured on this monitor without knowledge of the sample’s identification. Sperm were analysed from 24 males (13 anadromous and 11 parr) and flagellar and head lengths were measured from 30 sperm from each male. Measurements""";24;-0.370909754;0.170698294;NA;NA;NA;NA;NA;NA;NA;NA;
Vladic & Järvi;2001;28;40;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;"""National Board of Fisheries Research Station, Älvkarleby, Sweden""";2;obs;NA;natural;3;2.M;total gonad weight (g);0;1;production;production_0;"""After the experiments, the fish were sacrified and the weight of their gonadal tissue was measured.""";40;2.326445178;0.16765434;body mass (g) +/- sd;7695;5837.31;20;50.14;13.1;20;40;
Vladic & Järvi;2001;28;41;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;"""National Board of Fisheries Research Station, Älvkarleby, Sweden""";2;obs;NA;natural;3;2.M;GSI (%);1;0;production;production_1;;40;-3.038367387;0.215395955;body mass (g) +/- sd;7695;5837.31;20;50.14;13.1;20;40;
Vladic & Järvi;2001;28;42;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;"""National Board of Fisheries Research Station, Älvkarleby, Sweden""";2;obs;NA;natural;3;2.M;spermatocrit;0;0;production;production_0;"""sperm concentration per millilitre of ejaculate (spermatocrits) were assessed by centrifugation in a micro-haematocrit centrifuge (2000g) for 5 min and reading the sperm cell density against a calibrated scale.""";40;-1.952214497;0.147639268;body mass (g) +/- sd;7695;5837.31;20;50.14;13.1;20;40;
Vladic & Järvi;2001;28;43;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;"""National Board of Fisheries Research Station, Älvkarleby, Sweden""";2;obs;NA;natural;3;2.M;ATP (nmol ml-1);0;0;quality;quality;"""The ATP assay was conducted by the luminometric method according to Hampp (1985). Phosphoenolpyruvate was obtained from Sigma-Aldrich AB (Stenheim, Germany). The ATP monitoring reagent (containing ¢re£y luciferase and D- luciferin) and ATP standard were obtained from Bio-Orbit (LKB, Wallac, Turku, Finland). All measurements were performed at room temperature in duplicate and the mean value of the two measurements was used. The ATP concentrations were expressed as nanomoles per millilitre of spermatozoa.""";34;-6.872932431;0.812311768;body mass (g) +/- sd;7695;5837.31;20;50.14;13.1;20;40;
Vladic & Järvi;2001;28;44;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;"""National Board of Fisheries Research Station, Älvkarleby, Sweden""";2;obs;NA;natural;3;2.M;ATP residual spermatocrit;0;0;quality;quality;;34;-0.526304104;0.12172053;body mass (g) +/- sd;7695;5837.31;20;50.14;13.1;20;40;
Vladic & Järvi;2001;28;45;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;"""National Board of Fisheries Research Station, Älvkarleby, Sweden""";2;obs;NA;natural;3;2.M;longevity (s);0;0;quality;quality;"""Sperm longevity was defined as the time-period until all spermatozoa in the sample observed under the microscope had stopped their forward movements, which characterize motile spermatozoa. Zero sperm motility in a given ejaculate commenced after the last spermatozoon in the visual field had started to vibrate, thereby marking the end of propulsive sperm motility, and other spermatozoa were immobile. The mean of three measurements was calculated for each fish""";29;1.033604507;0.156514864;body mass (g) +/- sd;7695;5837.31;20;50.14;13.1;20;40;
Vladic & Järvi;2001;28;46;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;"""National Board of Fisheries Research Station, Älvkarleby, Sweden""";2;obs;NA;natural;3;2.M;proportion of motily sperm after 10s;0;0;quality;quality;"""Sperm motility was determined by microscopic observations under a Nikon phase-contrast light microscope (Shiyoda-ku, Tokyo, Japan) at  100 magni¢cation in triplicate. No cover slide glass was applied. Motility was initiated by suspending a drop of ejaculate in motility activation bu¡er (20 mM Tris^HCl, pH 8.0, 125 mM NaCl) (Moss et al. 1991) at a dilution ratio of 1:500 at 48C. This temperature has been previously determined as optimal for Atlantic salmon sperm motility (Vladic ̈ & JÌrvi 1997)."" ""In addition,sperm motility was video recorded on a VHS tape and replayed at 12 frames s-1 in order to determine the proportion of motile spermatozoa and the average velocity of the spermatozoa at three time-intervals, namely (i) 10s after the initiation of motility, (ii) one-third of the total sperm longevity time and (iii) two-thirds of the total sperm longevity time."" ""The videotape images were traced on transparent plastic sheets using a marker and the proportion of motile spermatozoa was calculated by dividing the number of progressively moving spermatozoa by the total number of spermatozoa on the screen.""";29;-1.472974275;0.175503052;body mass (g) +/- sd;7695;5837.31;20;50.14;13.1;20;40;
Vladic & Järvi;2001;28;47;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;"""National Board of Fisheries Research Station, Älvkarleby, Sweden""";2;obs;NA;natural;3;2.M;sperm velocity (mm s-1) after 10s;0;0;quality;quality;"""In addition,sperm motility was video recorded on a VHS tape and replayed at 12 frames s-1 in order to determine the proportion of motile spermatozoa and the average velocity of the spermatozoa at three time-intervals, namely (i) 10s after the initiation of motility, (ii) one-third of the total sperm longevity time and (iii) two-thirds of the total sperm longevity time."" ""Sperm velocity was estimated by measuring the distances between sperm head positions at 12 time-steps over a time- period of 1s.""";24;0;0.166666667;body mass (g) +/- sd;7695;5837.31;20;50.14;13.1;20;40;
Vladic et al;2002;50;67;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;sperm flagellum length (µm);0;0;quality;quality;;14;0.433234072;0.298369944;body mass (g) +/- sd;4837.5;1570.2;8;90.2;18.6;6;14;
Vladic et al;2002;50;68;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;sperm end piece length (µm);0;0;quality;quality;;14;-0.24171811;0.293753368;body mass (g) +/- sd;4837.5;1570.2;8;90.2;18.6;6;14;
Vladic et al;2002;50;69;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;sperm midpiece length (µm);0;0;quality;quality;;14;-0.37476802;0.296682776;body mass (g) +/- sd;4837.5;1570.2;8;90.2;18.6;6;14;
Vladic et al;2002;50;70;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;energy charge values;0;0;quality;quality;"""Energy charge = (ATP + ½ ADP)/(ATP + ADP + AMP)""";14;-0.993370213;0.3319;body mass (g) +/- sd;4837.5;1570.2;8;90.2;18.6;6;14;
Vladic et al;2002;50;71;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;spermatocrit;0;0;quality;quality;"""The number of sperm cells (i.e., spermatocrit) in the ejaculate was determined as the percentage of sperm cells per milliliter of fluid by centrifuging undiluted milt samples for 5 min in a microhe- matocrit centrifuge (2000 ? g) and by reading sperm cell density against a calibrated scale.""";14;-2.241753191;0.4965;body mass (g) +/- sd;4837.5;1570.2;8;90.2;18.6;6;14;
Vladic et al;2002;50;72;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;sperm longevity (s);0;0;quality;quality;"""Sperm longevity was defined as the time period until all spermatozoa in the sample observed under the microscope had stopped the forward movements characteristic of motile spermatozoa""";14;-0.35387234;0.2968;body mass (g) +/- sd;4837.5;1570.2;8;90.2;18.6;6;14;
Vladic et al;2010;49;157;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;stripped sperm mass (g);0;0;production;production_0;;22;2.319991775;0.304144587;body length (cm) +/- se;86.73;5.8;11;16.15;0.51;11;22;
Vladic et al;2010;49;158;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;spermatocrit;0;0;production;production_0;"""The amount of sperm cells per ml ejaculate (spermatocrit) was assessed after centrifugation (5 min) in a haematocrit centrifuge (2000×g) by reading sperm cell density against a calibrated scale""";22;-1.798381589;0.25532219;body length (cm) +/- se;86.73;5.8;11;16.15;0.51;11;22;
Vladic et al;2010;49;159;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;GSI;1;0;production;production_1;"""Gonadal investment (GSI) was estimated as GSI = logGW/log( BW−GW) x 100, where GW is the sum of gonad and ejaculate weight and BW is the total body weight.""";22;-2.131814579;0.285105305;body length (cm) +/- se;86.73;5.8;11;16.15;0.51;11;22;
Vladic et al;2010;49;160;Salmo;atlantic Salmon;Salmo_salar;Salmo_salar;sea-ranched stocks of the river Dalälven that flows into the Gulf of Bothnia, central Sweden. Because of the power plant in Älvkarleby;2;obs;NA;natural;3;2.M;ATP (nmol ml-1);0;0;quality;quality;"""After measurement of the light emission from the sample, an internal ATP standard (10 μl) was added after 10 s. In calculation of the sample ATP, the following expression was used:
ATPconcentration = A/(B-A) * C; where A is the height of the light emission recorded before addition of theinternal standard,Bis the lightemissionafteradditionof the internal ATP standard, and C is the amount of ATP added (10^−12 mol)""";22;-2.436251435;0.316711842;body length (cm) +/- se;86.73;5.8;11;16.15;0.51;11;22;
Liljedal & Folstad;2003;30;73;Salvelinus;artic char;Salvelinus_alpinus;Salvelinus_alpinus;"""Lake Fjellfrøsvatn, northern Norway""";2;obs;NA;semi-natural;4;3.H;testis mass (g);0;1;production;production_0;"""wet mass"" ""In the laboratory we weighed the testes and dried spleens
to the nearest 0.0001 g.""";39;0.124915291;0.102831628;body length (cm) +/- se;23.3;0.72;20;22.7;0.7;20;40;
Liljedal & Folstad;2003;30;74;Salvelinus;artic char;Salvelinus_alpinus;Salvelinus_alpinus;"""Lake Fjellfrøsvatn, northern Norway""";2;obs;NA;semi-natural;4;3.H;milt mass (g);0;0;production;production_0;"""All sperm sampling was done by one person, who dried
the area around the genital pore of each fish before sperm sampling in order not to dilute the semen. As available milt was removed before the experiment was started, milt sam- pled at the end of the experiment had been produced during the experimental period. After weighing the milt sample to the nearest 0.01 g""";40;0.297129228;0.101103572;body length (cm) +/- se;23.3;0.72;20;22.7;0.7;20;40;
Liljedal & Folstad;2003;30;75;Salvelinus;artic char;Salvelinus_alpinus;Salvelinus_alpinus;"""Lake Fjellfrøsvatn, northern Norway""";2;obs;NA;semi-natural;4;3.H;sperm density (%);0;0;production;production_0;"""percentage of sperm cells in stripped milt"" ""we measured spermatocrit, which is the percentage of a given volume of milt that is occupied by cells (i.e., sperm density). To estimate spermatocrit we cen- trifuged a homogenized proportion of the milt in a capillary tube for 195 s at 11 500 rpm with a Compur mini-centrifuge. This method previously showed high repeatability for charr milt (Liljedal et al. 1999).""";40;-1.133131081;0.116049826;body length (cm) +/- se;23.3;0.72;20;22.7;0.7;20;40;
Liljedal & Folstad;2003;30;76;Salvelinus;artic char;Salvelinus_alpinus;Salvelinus_alpinus;"""Lake Fjellfrøsvatn, northern Norway""";2;obs;NA;semi-natural;4;3.H;sperm number;0;0;production;production_0;"""sperm density x milt mass""";40;-0.386920172;0.10187134;body length (cm) +/- se;23.3;0.72;20;22.7;0.7;20;40;
Serrano et al;2006;16;104;Salvelinus;Artic char;Salvelinus_alpinus;Salvelinus_alpinus;lake Fjellfrøsvatn, northern Norway;2;obs;NA;laboratory;4;3.H;mean sperm velocity of the 10% fastest sperm (µm/s);0;0;quality;quality;"""We obtained ejaculates from 46 males, and the sperm velocity was measured for a period of 0.5 s at 15, 20, 30, and 40 s post activation. We used velocity of the mean point-to- point track followed by the cell (VCL), because sperm cells did not have any ovarian fluid gradient or a target (i.e., an egg) to ease orientation.""";46;0.041840369;0.08697555;NA;NA;NA;NA;NA;NA;NA;NA;
Neat et al;2003;26;78;Scartella;Combtooth blenny;Scartella_cristata;Hypsoblennius_sp1;"Bay of Villefranche-sur-Mer and around the Cap Ferrat Peninsula (43?420 N; 7?240 E) in southern France";2;obs;major 1: nester;natural;4;3.H;mass of testis (mg);0;1;production;production_0;;20;-0.141576419;0.202521299;body mass (g) +/- sd;8.32;3.64;9;1.51;0.43;11;20;
Neat et al;2003;26;79;Scartella;Combtooth blenny;Scartella_cristata;Hypsoblennius_sp1;"Bay of Villefranche-sur-Mer and around the Cap Ferrat Peninsula (43?420 N; 7?240 E) in southern France";2;obs;major 1: nester;natural;4;3.H;adjusted IG;1;0;production;production_1;"""Adjusted IG was calculated as: 100 (mass of testis that was seminiferous) body mass^-1""";20;-4.053342824;0.612759903;body mass (g) +/- sd;8.32;3.64;9;1.51;0.43;11;20;
Seivag et al;2016;45;202;Sufflogobius;bearded goby;Sufflogobius_bibarbatus;Caffrogobius_saldanha;Benguela Upwelling Ecosystem;2;obs;NA;natural;3;2.M;GSI;1;0;production;production_1;gsi = 100xtestes mass/mass(gonad free);116;-3.155989301;0.086954962;?;?;?;?;?;?;?;?;
Seivag et al;2016;45;203;Sufflogobius;bearded goby;Sufflogobius_bibarbatus;Caffrogobius_saldanha;Benguela Upwelling Ecosystem;2;obs;NA;natural;3;2.M;SVSI;0;0;quality;quality;svsi = 100xseminal vesicle mass/mass(gonad free);116;2.886692502;0.079940846;?;?;?;?;?;?;?;?;
Seivag et al;2016;45;204;Sufflogobius;bearded goby;Sufflogobius_bibarbatus;Caffrogobius_saldanha;Benguela Upwelling Ecosystem;2;obs;NA;natural;3;2.M;testes mass;0;1;production;production_0;;116;-17.71647073;1.396925077;?;?;?;?;?;?;?;?;
Seivag et al;2016;45;205;Sufflogobius;bearded goby;Sufflogobius_bibarbatus;Caffrogobius_saldanha;Benguela Upwelling Ecosystem;2;obs;NA;natural;3;2.M;seminal vesicle mass;0;0;quality;quality;;116;78.62408744;26.68948452;?;?;?;?;?;?;?;?;
Uglem et al;2000;24;24;Symphodus;Corkwing wrasse;Symphodus_melops;Oreochromis_niloticus;waters around Lysekil, west coast of Sweden;2;obs;year 1998;natural;2;1.L;GSI;1;0;production;production_1;"""IG=100WG .W^-1, where WG is gonad wet weight and W is whole body wet weight""";165;-8.08795576;0.2546;NA;NA;NA;NA;NA;NA;NA;NA;
Uglem et al;2000;24;25;Symphodus;Corkwing wrasse;Symphodus_melops;Oreochromis_niloticus;waters around Lysekil, west coast of Sweden;2;obs;year 1999;natural;2;1.L;GSI;1;0;production;production_1;"""IG=100WG .W^-1, where WG is gonad wet weight and W is whole body wet weight""";138;-4.978640884;0.1204;NA;NA;NA;NA;NA;NA;NA;NA;
Uglem et al;2001;34;36;Symphodus;corkwing wrasse;Symphodus_melops;Oreochromis_niloticus;"""waters around Lysekil on the west coast of Sweden (58°15′ N, 11°28′ E)""";2;obs;NA;natural;2;1.L;GSI;1;0;production;production_1;"""The gonadosomatic index (GSI) was used as an indicator of relative gonad size and was calculated as GSI=GW×100/W, where GW is gonad wet weight and W is whole-body wet weight.""";49;-4.765514214;0.313402643;mean standard length +/- sd mm;136.341;8.035;25;105.064;9.728;26;51;
Uglem et al;2001;34;37;Symphodus;corkwing wrasse;Symphodus_melops;Oreochromis_niloticus;"""waters around Lysekil on the west coast of Sweden (58°15′ N, 11°28′ E)""";2;obs;NA;natural;2;1.L;Spermatrocrit level;0;0;production;production_0;"""Sperm concentration was estimated immediately after collec- tion of milt by measuring the spermatocrit, i.e. the percentage of a given volume of milt that is occupied by cells (Liljedal et al. 1999). The spermatocrit was measured by centrifuging a capillary tube containing 9 µl milt for 205 s at 11,500 rpm in a Compur mini centrifuge""";49;-0.483465292;0.084051755;mean standard length +/- sd mm;137.341;8.035;25;105.064;9.728;27;52;
Uglem et al;2001;34;38;Symphodus;corkwing wrasse;Symphodus_melops;Oreochromis_niloticus;"""waters around Lysekil on the west coast of Sweden (58°15′ N, 11°28′ E)""";2;obs;NA;natural;2;1.L;proportion of motile sperm at 1 min;0;0;quality;quality;"""Sperm motility was estimated after a double-step dilution ac- cording to Billard and Cosson (1992). First, the milt was diluted to 1:100 in an isotonic non-activating medium (NAM: NaCl 3.5g l–1,
KCl 0.11 g l–1, MgCl2 1.23 g l–1, CaCl2 0.39 g l–1, NaHCO3 1.68 g l–1, glucose 0.08 g l–1, osmotic pressure 310 mOsm kg–1, pH 7.7) (Fauvel et al. 1999). Bovine serum albumin (10 mg ml–1) was also added to the mineral diluent. To ensure that the milt samples were not activated after dilution in NAM, a drop of diluted but not acti- vated milt was filmed (see below) for all samples examined. Apart from one milt sample, which was discarded from further analysis, all samples were inactive. Then, the sperm was activated by mix- ing 1 µl of the NAM-diluted milt with 19 µl seawater previously placed on a glass slide. The glass slide was promptly examined under a microscope (×200) that was connected to a monitor and a video recorder. Sperm activity was recorded for at least 5 min af- ter activation. Two milt samples were examined for each fish. A sperm cell was regarded as motile if it showed forward motion (Linhart et al. 1992). Motility was estimated 1, 3 and 5 min after activation. For each of these timepoints, the videotape was frozen and the total number of sperm cells in the picture counted. Then the number of immobile sperm cells were counted in predefined squares drawn on the monitor screen when the tape was running at ±5 s to the times when the tape was frozen. Thus, sperm motility could be estimated as the percentage of motile sperm cells at a given time ±5 s. The mean number of sperm cells counted for each timepoint for each of the two samples from every male was 91 (SD=30.8). The two milt samples were examined at an interval of approximately 10 min. There""";44;-0.477785463;0.09350317;mean standard length +/- sd mm;138.341;8.035;25;105.064;9.728;28;53;
Uglem et al;2001;34;39;Symphodus;corkwing wrasse;Symphodus_melops;Oreochromis_niloticus;"""waters around Lysekil on the west coast of Sweden (58°15′ N, 11°28′ E)""";2;obs;NA;natural;2;1.L;gonad wet weight (?);0;1;production;production_0;"""Standard length was mea- sured to the nearest millimetre, while whole body wet weight, go- nad wet weight and spleen wet weight were measured to the near- est 10 mg. The gonads and the spleen were carefully blotted dry on tissue paper before the weight was recorded. All morphometric measurements were taken within 10–15 min after the fish was tak- en from the storage containers""";49;-0.896975401;0.0901;mean standard length +/- sd mm;135.341;8.035;25;105.064;9.728;25;50;
Uglem et al;2002;48;64;Symphodus;corkwing wrasse;Symphodus_melops;Oreochromis_niloticus;Lysekil on the West Coast of Sweden;2;obs;NA;natural;2;1.L;gonad wet mass (g);0;1;production;production_0;;40;-1.147296135;0.123120272;body wet mass (g) +/- se;58.7;3;15;29.2;1.6;25;40;
Uglem et al;2002;48;65;Symphodus;corkwing wrasse;Symphodus_melops;Oreochromis_niloticus;Lysekil on the West Coast of Sweden;2;obs;NA;natural;2;1.L;GSI;1;0;production;production_1;"""GSI = GW * 100/BW, where GW is gonad wet mass and BW is whole body wet mass""";40;-4.509552797;0.360867497;body wet mass (g) +/- se;58.7;3;15;29.2;1.6;25;40;
